"org.junit.tests.TestListenerTest:removeFailingListeners","org.junit.runner.Result:getFailures","255, 128, 128"
"org.junit.tests.UserStopTest:createNotifier","org.junit.runner.notification.RunNotifier:pleaseStop","255, 128, 128"
"org.junit.tests.AnnotationTest:testRunAllAftersRegardless","org.junit.runner.Result:getFailureCount","255, 128, 128"
"org.junit.internal.runners.TestClassMethodsRunner:run","org.junit.internal.runners.TestClassMethodsRunner:invokeTestMethod","255, 128, 128"
"org.junit.tests.TextListenerTest:testTime","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.samples.money.MoneyTest:testSimpleBagAdd","junit.samples.money.Money:add","255, 128, 128"
"org.junit.tests.AnnotationTest:testTeardownAfterFailure","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.InitializationErrorForwardCompatibilityTest:generatedErrorTestsMatchUp","junit.framework.JUnit4TestAdapter:getTests","255, 128, 128"
"org.junit.internal.runners.TextListener:testRunFinished","org.junit.internal.runners.TextListener:printFailures","255, 128, 128"
"org.junit.tests.AnnotationTest:testRunFailure","org.junit.runner.Result:getFailureCount","255, 128, 128"
"org.junit.tests.InaccessibleBaseClassTest:inaccessibleBaseClassIsCaughtAtValidation","org.junit.internal.runners.MethodValidator:assertValid","255, 128, 128"
"org.junit.tests.TimeoutTest:timeoutFailure","org.junit.runner.Result:getFailures","255, 128, 128"
"org.junit.internal.runners.BeforeAndAfterRunner:runAfters","org.junit.internal.runners.BeforeAndAfterRunner:addFailure","255, 128, 128"
"org.junit.tests.AnnotationTest:testTeardownFailure","org.junit.runner.notification.Failure:getException","255, 128, 128"
"org.junit.tests.SingleMethodTest:parameterizedOneTimeSetup","org.junit.runner.Request:getRunner","255, 128, 128"
"org.junit.tests.TimeoutTest:infiniteLoop","org.junit.runner.Result:getFailureCount","255, 128, 128"
"org.junit.tests.ForwardCompatibilityTest:testUseGlobalCache","junit.framework.JUnit4TestAdapter:getTests","255, 128, 128"
"org.junit.tests.SingleMethodTest:filteringAffectsPlan","org.junit.runner.Runner:testCount","255, 128, 128"
"org.junit.tests.ForwardCompatibilityTest:testExpected","junit.framework.TestResult:wasSuccessful","255, 128, 128"
"org.junit.tests.AnnotationTest:testRunAllAfterClasses","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.SuiteTest:suiteTestCountIsCorrect","org.junit.runner.Request:getRunner","255, 128, 128"
"org.junit.tests.AnnotationTest:testErrorInBeforeClass","org.junit.runner.Description:getDisplayName","255, 128, 128"
"org.junit.tests.EnclosedTest:enclosedRunnerIsNamedForEnclosingClass","org.junit.runner.Request:getRunner","255, 128, 128"
"org.junit.tests.ParameterizedTestTest:failuresNamedCorrectly","org.junit.runner.Result:getFailures","255, 128, 128"
"org.junit.tests.TestMethodTest:compatibility","junit.framework.JUnit4TestAdapter:run","255, 128, 128"
"org.junit.tests.TimeoutTest:failureWithTimeout","org.junit.runner.Result:getFailureCount","255, 128, 128"
"org.junit.internal.runners.OldTestClassRunner:makeDescription","junit.framework.TestSuite:getName","255, 128, 128"
"org.junit.tests.AnnotationTest:testSetup","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.TimeoutTest:failureWithTimeoutRunTimeException","org.junit.runner.Result:getFailureCount","255, 128, 128"
"org.junit.internal.runners.TestMethodRunner:run","org.junit.runner.notification.RunNotifier:fireTestStarted","255, 128, 128"
"org.junit.tests.ListenerTest:notifyListenersInTheOrderInWhichTheyAreAdded","org.junit.runner.JUnitCore:addListener","255, 128, 128"
"org.junit.tests.PreJUnit4TestCaseRunnerTest:testListener","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.TimeoutTest:successWithTimeout","org.junit.runner.Result:getRunCount","255, 128, 128"
"org.junit.internal.runners.TestClassMethodsRunner:getDescription","org.junit.internal.runners.TestClassMethodsRunner:methodDescription","255, 128, 128"
"org.junit.tests.AllTestsTest:correctTestCountAdapted","org.junit.runners.AllTests:testCount","255, 128, 128"
"org.junit.tests.TimeoutTest:failureWithTimeout","org.junit.runner.Result:getFailures","255, 128, 128"
"org.junit.internal.runners.CompositeRunner:filter","org.junit.runner.Runner:getDescription","255, 128, 128"
"org.junit.internal.runners.TestMethodRunner:addFailure","org.junit.runner.notification.RunNotifier:fireTestFailure","255, 128, 128"
"org.junit.runner.notification.RunNotifier:testAborted","org.junit.runner.notification.RunNotifier:fireTestFailure","255, 128, 128"
"org.junit.tests.AnnotationTest:testOneTimeSetup","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.ExpectedTest:expected","org.junit.runner.Result:wasSuccessful","255, 128, 128"
"org.junit.tests.PreJUnit4TestCaseRunnerTest:testListener","org.junit.runner.JUnitCore:addListener","255, 128, 128"
"org.junit.tests.SuiteTest:whatHappensWhenASuiteHasACycle","org.junit.runner.Result:getFailureCount","255, 128, 128"
"org.junit.tests.TestListenerTest:failingListener","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.AnnotationTest:testErrorInBeforeClass","org.junit.runner.Result:getFailureCount","255, 128, 128"
"org.junit.tests.ExpectedTest:noneThrown","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.SuiteTest:whatHappensWhenASuiteHasAForkingCycle","org.junit.runner.Result:getFailureCount","255, 128, 128"
"org.junit.tests.AnnotationTest:testRunFailure","org.junit.runner.notification.Failure:getException","255, 128, 128"
"org.junit.internal.runners.TestClassRunner:validate","org.junit.internal.runners.MethodValidator:validateMethodsForDefaultRunner","255, 128, 128"
"org.junit.internal.runners.TestClassMethodsRunner:getDescription","org.junit.runner.Description:addChild","255, 128, 128"
"org.junit.tests.AnnotationTest:testAnnotatedMethod","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.internal.runners.TextListener:testRunFinished","org.junit.runner.Result:getRunTime","255, 128, 128"
"org.junit.tests.AnnotationTest:testException","org.junit.runner.JUnitCore:run","255, 128, 128"
"org.junit.tests.ParameterizedTestTest:plansNamedCorrectly","org.junit.runner.Description:getDisplayName","255, 128, 128"
"org.junit.tests.SuiteTest:withoutSuiteClassAnnotationProducesFailure","org.junit.runner.notification.Failure:getMessage","255, 128, 128"
"org.junit.internal.requests.ClassRequest:buildRunner","org.junit.runner.Request:getRunner","255, 128, 128"
"org.junit.tests.ParameterizedTestTest:meaningfulFailureWhenParametersNotPublic","org.junit.runner.Result:getFailures","255, 128, 128"
"org.junit.tests.ParameterizedTestTest:plansNamedCorrectly","org.junit.runner.Request:getRunner","255, 128, 128"
